,restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,CHCH3,16,23,7.29,1.79,7.17984e-05,0.99,2.47,[35],"[40, 41, 42]",5.0,2.6459261086811106,2.6504089345768045,2.6444290404670707,2.644598861787111,2.6438794443933977,2.646351819401407
1,2,CHCH2,20,9',7.21,4.36,3.22055e-05,0.96,2.83,[33],[31],6.0,4.876928595119744,4.9118272397481375,4.860178240485437,4.881836122978648,4.863636704604997,4.868422649797577
2,3,CHCH2,20,9'',7.21,4.45,4.90079e-05,0.98,2.64,[33],[32],6.0,4.595474630486683,4.623658202627779,4.58701446668908,4.594238183116481,4.581502964663342,4.5917708447365975
3,4,CHCH3,20,11,7.21,3.13,1.11725e-06,0.97,4.95,[33],"[43, 44, 45]",6.0,2.7299753241475058,2.718106625899423,2.733219390552132,2.729729884062231,2.7361226346487695,2.732953825808708
4,5,CHCH2,31,9'',6.86,4.45,3.97831e-05,0.99,2.73,[30],[32],6.0,3.9898082155246457,3.9942258511717847,3.990234672981394,3.988719243818207,3.987873916413304,3.988011783853267
5,6,CHCH3,31,11,6.86,3.13,4.74948e-06,0.97,3.89,[30],"[43, 44, 45]",8.0,3.5369841953196026,3.312064662263125,3.6384674911772894,3.549659020885051,3.7159138938979526,3.5670963238017954
6,7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.2,[30],[36],5.0,2.1630598934184815,2.217108348160932,2.149766367439236,2.1622029447665723,2.136918181690404,2.155265854920584
7,8,CHCH3,21,23,5.73,1.79,7.97246e-05,0.98,2.43,[36],"[40, 41, 42]",3.0,2.5206318163838475,2.520662505836352,2.520012473418988,2.521324265135693,2.5212351715676706,2.519927060873059
8,9,CHCH3,9',11,4.36,3.13,1.69377e-05,0.98,3.15,[31],"[43, 44, 45]",4.0,3.873561308518527,3.8743754529082346,3.8721343257485903,3.8740352750525178,3.874062924252128,3.8732015520765986
