,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[9],"[19, 20, 21]",5.0,2.7798118391221753,2.7623945927289655,2.786717787586283,2.7718421286764032,2.7692849599645912,2.8106523295129024
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[9],"[4, 5, 6]",4.0,2.5997370419189734,2.5722493031086846,2.641419876658299,2.5860105826853697,2.621775005750572,2.581854808798083
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[38],"[19, 20, 21]",8.0,5.987697535929414,6.324485199271736,5.919247265142253,6.075290385160603,5.761001115305149,5.957000901237802
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[38],"[40, 41]",3.0,2.5371962186583352,2.530146116339347,2.5058401876661724,2.539062020409511,2.5407668124336653,2.573401177045654
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[38],[35],3.0,2.6982503143412617,2.6934963767777917,2.635948336282813,2.709877842251313,2.679958858775841,2.7874514133469788
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[38],[35],3.0,2.6982503143412617,2.6934963767777917,2.635948336282813,2.709877842251313,2.679958858775841,2.7874514133469788
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[38],"[40, 41]",3.0,2.5371962186583352,2.530146116339347,2.5058401876661724,2.539062020409511,2.5407668124336653,2.573401177045654
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[31, 32]",[22],5.0,2.9168281694663727,2.951480729549499,2.795167496333612,2.952437705284714,2.848175139532627,3.100124764146155
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[35],"[31, 32]",3.0,2.491341663144973,2.4827489203297817,2.501635066335127,2.4895724126869276,2.510979079332839,2.473039677319827
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[43],"[40, 41]",3.0,2.55278874994864,2.547143887799297,2.5327430703006764,2.5538465941926187,2.5537584229984733,2.5779038297799617
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[53],[43],4.0,3.8504240813723287,3.8523438641821746,3.8419005303895,3.8488398288200627,3.8530097050379126,3.856134125491435
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[43],"[48, 49, 50]",5.0,3.1095583333516172,3.0673579216659537,2.990069023564912,3.1171106140126676,3.1312597688562462,3.2962276487982494
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[16],"[13, 14, 15]",4.0,2.626754728356715,2.6307942556955926,2.6281463683178927,2.6291155237910147,2.623400057113247,2.622389623541696
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[16],"[19, 20, 21]",4.0,3.5660240426344183,3.7417710343092017,3.4023468167047617,3.618137558645377,3.556515156192363,3.570635937791096
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[55],[51],4.0,3.137087525115576,3.1395835914164,3.0412361622086452,3.140228798708117,3.160443045930879,3.223454312758085
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[53],[51],3.0,2.4006671996357363,2.4018413451061917,2.4076106719318573,2.4025122244772272,2.3985842500329966,2.392957953291487
