restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,NHNH,12,21,7.80,7.74,5.3553E-05,0.98,2.49
2,NHCH,12,11,7.80,4.95,2.0238E-05,0.99,2.93
3,NHCH,12,8'',7.80,4.33,2.1267E-05,0.99,2.90
4,NHCH,12,10',7.80,2.98,1.1776E-05,0.98,3.20
5,NHCH,21,16,7.74,4.91,1.2026E-05,0.99,3.19
6,NHCH,21,15',7.74,4.49,5.4590E-05,0.99,2.48
7,NHCH,21,8'',7.74,4.33,1.6590E-05,0.99,3.03
8,CHCH,6,8'',7.43,4.33,2.8211E-05,0.99,2.77
9,CHCH,6,8',7.43,3.97,2.3450E-05,0.99,2.86
10,CHCH,15'',16,5.13,4.91,3.6303E-05,0.99,2.65
11,CHCH,11,8',4.95,3.97,2.0588E-05,0.99,2.92
12,CHCH,16,15',4.91,4.49,2.9756E-05,0.98,2.74
13,CHCH,8'',10'',4.33,3.25,1.8826E-05,0.99,2.96
14,CHCH,8',10'',3.97,3.25,8.4757E-06,0.95,3.38
15,CHCH,8',10',3.97,2.98,9.9692E-06,0.99,3.29
Ref,CHCH,15'',15',5.13,4.49,3.9967E-04,0.98,1.78
