restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,13,11,5.10,3.83,0.0000091,0.99,2.8875
2,3,5,3.98,3.55,0.0000250,0.99,2.4375
3,11,4,3.82,2.02,0.0000013,0.99,3.9875
4,2,4,2.90,2.03,0.0000110,0.99,2.8
5,3,4,3.98,2.03,0.0000130,0.99,2.725
6,11,10,3.82,2.68,0.0000147,0.99,2.6625
7,10,7B,2.67,1.59,0.0000049,0.99,3.2625
8,8,6Me,3.75,1.49,0.0000357,0.98,2.3
9,2,4Me,2.90,1.09,0.0000314,0.99,2.35
10,10,8Me,2.67,1.04,0.0000335,0.99,2.325
11,10,12Me,2.67,1.13,0.0000475,0.99,2.1875
12,5,4Me,3.54,1.09,0.0000021,0.98,3.675
13,5,6Me,3.54,1.5,0.0000257,0.98,2.425
14,1'',2''A,4.88,2.35,0.0000068,0.99,3.0375
15,1'',2Me,4.87,1.18,0.0000435,0.99,2.225
16,1'',3,4.87,3.98,0.0000310,0.99,2.35
17,1',5',4.43,3.53,0.0000272,0.98,2.4
18,1',3',4.43,4.01,0.0000464,0.99,2.2
19,4'',5''Me,3.01,1.26,0.0000235,0.99,2.4625
20,1',4Me,4.43,1.09,0.0000138,0.99,2.6875
21,5,5'',3.54,1.29,0.0000071,0.99,3.0125
Ref,2''A,2''B,2.36,1.56,0.0000433,0.99,2.225
