restraint_number,type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,CHCH3,16,23,7.29,1.79,7.17984E-05,0.99,2.47
2,CHCH2,20,9',7.21,4.36,3.22055E-05,0.96,2.83
3,CHCH2,20,9'',7.21,4.45,4.90079E-05,0.98,2.64
4,CHCH3,20,11,7.21,3.13,1.11725E-06,0.97,4.95
5,CHCH2,31,9'',6.86,4.45,3.97831E-05,0.99,2.73
6,CHCH3,31,11,6.86,3.13,4.74948E-06,0.97,3.89
7,CHCH,31,21,6.86,5.73,0.000145559,0.99,2.20
8,CHCH3,21,23,5.73,1.79,7.97246E-05,0.98,2.43
9,CHCH3,9',11,4.36,3.13,1.69377E-05,0.98,3.15
Ref,CHCH3,21,23,5.73,1.79,7.43545E-05,0.98,2.43
